uprn,x_coordinate,y_coordinate,latitude,longitude,last_update_date
100070632202,409694,283505,52.4494346,-1.8587851,2016-02-10
100070632204,409694,283510,52.4494796,-1.858785,2016-02-10
100070632200,409694,283522,52.4495875,-1.8587847,2018-09-23
100070632312,409694,283525,52.4496144,-1.8587846,2016-02-10
100070632314,409694,283528,52.4496414,-1.8587845,2018-09-23
100070632206,409694,283513,52.4495065,-1.8587849,2016-02-10
100070632208,409694,283518,52.4495515,-1.8587848,2016-02-10
100070632318,409695,283536,52.4497133,-1.8587695,2018-09-23
100070632321,409695,283543,52.4497762,-1.8587693,2018-09-23
100070632323,409695,283546,52.4498032,-1.8587693,2016-02-10
100070632319,409695,283539,52.4497403,-1.8587695,2018-09-23
100070632316,409695,283532,52.4496773,-1.8587697,2016-02-10
100244661769,409696,283571,52.4500279,-1.8587538,2018-11-12
100070783755,409696,283571,52.4500279,-1.8587538,2018-11-12
100070632325,409696,283550,52.4498391,-1.8587544,2017-07-30
100904660873,409294.77,283599.14,52.4502877,-1.8646568,2017-07-30
100936493029,409302,283513,52.4495132,-1.8645528,2016-10-15
100071693893,409308.46,283519.24,52.4495692,-1.8644575,2016-02-10
100071689418,409317,283636,52.4506187,-1.8643287,2019-03-13
100936495344,409322.43,283568.51,52.4500119,-1.8642506,2017-02-12
100243773049,409325,283575,52.4500702,-1.8642126,2017-02-12
100911994776,409325.05,283612.56,52.4504079,-1.8642109,2016-02-10
100254614351,409337.28,283626.06,52.450529,-1.8640306,2018-12-17
100071708936,409359,283640,52.450654,-1.8637106,2020-03-19
100071689131,409359,283640,52.450654,-1.8637106,2016-02-10
100071689120,409364,283630,52.450564,-1.8636373,2016-02-10
100071708933,409364.2,283629.5,52.4505595,-1.8636344,2016-02-10
100071708934,409364.2,283629.5,52.4505595,-1.8636344,2016-02-10
100234616520,409365,283597,52.4502673,-1.8636235,2021-09-08
100071689383,409366.74,283625.69,52.4505252,-1.8635971,2016-02-10
100071689380,409366.74,283625.69,52.4505252,-1.8635971,2016-02-10
100071708935,409359,283640,52.450654,-1.8637106,2021-08-24
200001207311,409293,283629,52.4505562,-1.864682,2018-11-12
100071537700,409366.74,283625.69,52.4505252,-1.8635971,2016-02-10
100070583624,409356,283643,52.450681,-1.8637546,2016-02-10
100070583621,409361,283635,52.450609,-1.8636813,2018-11-12
100070583625,409351,283648,52.450726,-1.8638281,2016-02-10
100915555559,409442.29,283520.36,52.449577,-1.8624883,2018-09-23
100070783843,409448,283564,52.4499693,-1.8624031,2016-02-10
