"uprn","latitude","longitude"
100070478808,52.4494346,-1.8587851
100070478806,52.4494796,-1.858785
100070478800,52.4495875,-1.8587847
100070478798,52.4496144,-1.8587846
100070478796,52.4496414,-1.8587845
100070478804,52.4495065,-1.8587849
100070478802,52.4495515,-1.8587848
100070478792,52.4497133,-1.8587695
100070478789,52.4497762,-1.8587693
100070478787,52.4498032,-1.8587693
100070478791,52.4497403,-1.8587695
100070478794,52.4496773,-1.8587697
10024449341,52.4500279,-1.8587538
100070327355,52.4500279,-1.8587538
100070478785,52.4498391,-1.8587544
10090440237,52.4502877,-1.8646568
10093617081,52.4495132,-1.8645528
100071417217,52.4495692,-1.8644575
100071421692,52.4506187,-1.8643287
10093615766,52.4500119,-1.8642506
10024337061,52.4500702,-1.8642126
10091116334,52.4504079,-1.8642109
10025496759,52.450529,-1.8640306
100071302174,52.450654,-1.8637106
100071421979,52.450654,-1.8637106
100071421980,52.450564,-1.8636373
100071302177,52.4505595,-1.8636344
100071302176,52.4505595,-1.8636344
10023494580,52.4502673,-1.8636235
100071421727,52.4505252,-1.8635971
100071421720,52.4505252,-1.8635971
100071302175,52.450654,-1.8637106
200001803799,52.4505562,-1.864682
100071573300,52.4505252,-1.8635971
100070527486,52.450681,-1.8637546
100070527489,52.450609,-1.8636813
100070527485,52.450726,-1.8638281
10091555551,52.449577,-1.8624883
100070327267,52.4499693,-1.8624031
100070327268,52.4499782,-1.8623295
100071394584,52.4496454,-1.8622128
100070327273,52.4500229,-1.8621087
100070327275,52.4500318,-1.8620498
100070327276,52.4497889,-1.8619181
100070327281,52.4500854,-1.8618142
100070327283,52.4501033,-1.8617259
100070327284,52.4497795,-1.8616091
100070327289,52.4501031,-1.8614904
100070327291,52.450103,-1.8614021
100070327292,52.4498601,-1.8613293
100070327271,52.450005,-1.8621823
100070327279,52.4500765,-1.8618731
100070327287,52.4501031,-1.861564
100070327270,52.4497442,-1.8621537
100070327278,52.4497978,-1.8618592
100070327286,52.4498425,-1.8615942
100070327269,52.4499871,-1.8622559
100070327277,52.4500497,-1.8619614
100070327285,52.4500942,-1.8616229
100070327293,52.4501029,-1.8613286
100070327272,52.4497531,-1.8620801
100070327280,52.4498067,-1.8617709
100070327288,52.4498513,-1.8614912
100070327274,52.449771,-1.8620064
100070327282,52.4498246,-1.8617267
100070327290,52.4498512,-1.8614029
100071421972,52.4497809,-1.8627715
10094291334,52.4498709,-1.8628743
10025575331,52.4499463,-1.8631782
100071394583,52.449952,-1.8630064
10033394457,52.4500238,-1.8629474
100071394582,52.4500238,-1.8629474
100071394581,52.4500599,-1.8630797
10093617312,52.4500599,-1.8630797
10093617271,52.4500599,-1.8630797
100071302183,52.4501049,-1.863109
100071394580,52.4501049,-1.863109
100071302182,52.4501643,-1.8631632
10090435963,52.4501643,-1.8631632
100071394579,52.4501643,-1.8631632
100071394578,52.450177,-1.8632265
100071302181,52.450177,-1.8632265
100071394577,52.450177,-1.8632265
100071394576,52.450231,-1.8632852
100071394575,52.450231,-1.8632852
100071302180,52.450231,-1.8632852
100071394574,52.4503028,-1.8632261
200001926129,52.4499069,-1.862933
100070527494,52.4498709,-1.8628743
100070527492,52.4500599,-1.8630797
100070527495,52.4498259,-1.8628156
100070527493,52.4499159,-1.8629036
100070327327,52.4500745,-1.8601074
100070327324,52.4498407,-1.8600934
100070327329,52.4500744,-1.8600338
100070327331,52.4500743,-1.8599602
100070327328,52.4498405,-1.8599463
100070327335,52.4500741,-1.8598278
100070327332,52.4498314,-1.8597992
100070327337,52.4500651,-1.8597543
100070327339,52.450065,-1.8596807
100070327336,52.4498222,-1.8596373
100070327343,52.4500558,-1.8595483
100070327340,52.449822,-1.8595049
100070327345,52.4500557,-1.8594453
100070327347,52.4500556,-1.8593865
100070327344,52.4498129,-1.8593431
100070327351,52.4500555,-1.859254
100070327348,52.4498127,-1.8591812
100070327353,52.4500554,-1.8591805
100070327352,52.4498126,-1.8590782
100070327326,52.4498406,-1.8600051
100070327334,52.4498313,-1.8597256
100070327342,52.4498219,-1.8594166
100070327350,52.4498126,-1.8591224
100070327333,52.4500742,-1.8599014
100070327341,52.4500649,-1.8596071
100070327349,52.4500556,-1.8593129
100070327330,52.4498315,-1.859858
100070327338,52.4498221,-1.8595638
100070327346,52.4498128,-1.8592695
